MC1[GeV] MN1[GeV] SYS
100.0 0.0 -999.00
100.0 35.0 -999.00
100.0 65.0 -999.00
100.0 80.0 -999.00
110.0 90.0 -999.00
112.5 12.5 -999.00
112.5 47.5 -999.00
117.5 82.5 -999.00
130.0 30.0 -999.00
132.5 67.5 -999.00
135.0 115.0 -999.00
142.5 107.5 -999.00
150.0 0.0 -999.00
150.0 50.0 -999.00
155.0 5.0 -999.00
157.5 92.5 -999.00
175.0 25.0 -999.00
175.0 75.0 -999.00
192.5 157.5 -999.00
200.0 50.0 -999.00
207.5 142.5 -999.00
225.0 125.0 -999.00
250.0 0.0 -999.00
250.0 100.0 -999.00
267.5 232.5 -999.00
282.5 217.5 -999.00
